,date,cota_longOnly,drawdown_LongOnly,cota_longHedge,drawdown_LongHedge,cota_long&Short,drawdown_long&Short
0,2007-05-22,1.0,0.0,1.0,0.0,1.0,0.0
1,2007-05-23,1.0041889304719787,0.0,1.004704735375387,0.0,1.0067419414041587,0.0
2,2007-05-24,0.9965716609463308,0.0,1.0136178221519836,0.0,1.012829151429284,0.0
3,2007-05-25,1.0066164472947818,0.0,1.0100206374087113,0.0,1.0073389871065326,0.0
4,2007-05-28,1.0239703866989252,0.0,1.0140289247372285,0.0,1.0095102322970222,0.0
5,2007-05-29,1.0166422495043623,0.0,1.0151383638199714,0.0,1.007108520411721,0.0
6,2007-05-30,1.0228134423020818,0.0,1.0118435423171228,0.0,1.0097480157397072,0.0
7,2007-05-31,1.0337082510305728,0.0,1.0198254005433727,0.0,1.0128683150922984,0.0
8,2007-06-01,1.0408672539417674,0.0,1.0114002671418125,0.0,1.0068422799214123,0.0
9,2007-06-04,1.0342647449718712,0.0,1.0082778629120785,0.0,1.0047132203656874,0.0
10,2007-06-05,1.0326503913208271,0.0,1.0080846284811593,0.0,1.007418070221087,0.0
11,2007-06-06,1.028189161262973,0.0,1.0163163965867694,0.0,1.0116890881187863,0.0
12,2007-06-07,1.027712110725604,0.0,1.0163114003227893,0.0,1.0116194268614376,0.0
13,2007-06-08,1.024673999810947,0.0,1.0150869930254058,0.0,1.0051365329837836,0.0
14,2007-06-11,1.0377406139355043,0.0,1.0166607319998702,0.0,1.0091625697362945,0.0
15,2007-06-12,1.0309810776147172,0.0,1.0220276419097543,0.0,1.0168577460494888,0.0
16,2007-06-13,1.040385110106077,0.0,1.0163453792589954,0.0,1.0124108021181886,0.0
17,2007-06-14,1.04500032080255,0.0,1.0120652453485053,0.0,1.0074855865046244,0.0
18,2007-06-15,1.0520924002147936,0.0,1.00776440893683,0.0,1.006329244860845,0.0
19,2007-06-18,1.045019928895156,0.0,1.0028694052219247,0.0,0.9992195651791483,0.0
20,2007-06-19,1.0447078372155263,0.0,1.0048969530401164,0.0,0.9943604889687159,-0.5639511031284128
21,2007-06-20,1.0346535240523902,0.0,1.0052521914091832,0.0,0.9961560258096428,-1.0515023919388078
22,2007-06-21,1.0390162571097816,0.0,1.0030916519309434,-1.0384752508289963,1.0003845451420852,-1.2286974826541286
23,2007-06-22,1.0374153016433136,0.0,1.0052020774516348,-0.4770753961462537,1.0005668631999316,-0.6722785470711479
24,2007-06-25,1.0338815163758404,0.0,1.005894484916711,-0.8021901172715951,1.0005088377729552,-0.8916595628342905
25,2007-06-26,1.028939532030703,0.0,1.007057302791796,-0.796055130629314,0.9957447749286558,-1.1283536235419334
26,2007-06-27,1.038249727819645,0.0,1.009011650469901,-0.2798744794809682,0.9947614326218693,-1.484190400399965
27,2007-06-28,1.047864901960733,0.0,1.0151412121113563,-0.45931278329806036,1.003565685476902,-0.9184441330409965
28,2007-06-29,1.058360164727126,0.0,1.0164347955844724,0.0,1.0116050340421834,0.0
29,2007-07-02,1.0515726676850987,0.0,1.0050594102168895,-0.31920295124734377,1.0089401250020178,0.0
30,2007-07-03,1.059578815414056,0.0,1.0050555517704483,-0.3004784147214723,1.0114519162930995,0.0
31,2007-07-04,1.0638987075201691,0.0,1.0066538661584272,-0.9507403856508834,1.0151464772832595,0.0
32,2007-07-05,1.0615193881735712,0.0,1.0035238557089372,-1.258230952618522,1.010190995295625,-0.1412024648680732
33,2007-07-06,1.06534623265958,0.0,1.001682268567396,-1.3205493273101498,1.012937240218159,0.0
34,2007-07-09,1.0648715546975192,0.0,1.001684051499202,-1.4731247140044035,1.0128538867649874,0.0
35,2007-07-10,1.0698881116676375,0.0,1.0086609261203883,-1.307862453151365,1.0269937576609862,0.0
36,2007-07-11,1.065265088003816,0.0,1.0012165867469036,-1.488548363659803,1.0264355241783754,0.0
37,2007-07-12,1.0956202471634062,0.0,1.0022980620084239,-0.9650744737033312,1.0384063626272417,0.0
38,2007-07-13,1.1064351280697682,0.0,1.0076531503075314,-0.011040142746854276,1.0444670653539783,0.0
39,2007-07-16,1.0970630074445886,0.0,1.0051359674556553,0.0,1.0414598679477247,0.0
40,2007-07-17,1.101976753470276,0.0,1.0050494115223063,0.0,1.0438330717973312,0.0
41,2007-07-18,1.1086057317647036,0.0,1.0084430617012483,0.0,1.0500082521977905,0.0
42,2007-07-19,1.1197006262745737,0.0,1.0073294732440903,0.0,1.0575194241797712,0.0
43,2007-07-20,1.1200029710731416,0.0,1.0132612752135253,0.0,1.0533320475040544,0.0
44,2007-07-23,1.119319422457484,0.0,1.0066941393082491,0.0,1.050428653975607,0.0
45,2007-07-24,1.0974934830999925,0.0,1.0162320721182276,0.0,1.0487546757557102,0.0
46,2007-07-25,1.0959760247098813,0.0,1.0154076215471055,0.0,1.0469405735159258,0.0
47,2007-07-26,1.065004791050782,0.0,1.0188378625685064,0.0,1.049282246108042,0.0
48,2007-07-27,1.063757785758247,0.0,1.02845129988232,0.0,1.0602838942949089,0.0
49,2007-07-30,1.0834035861390876,0.0,1.023446191394029,0.0,1.0602125011494958,0.0
50,2007-07-31,1.0822356713432826,0.0,1.025691395549243,0.0,1.064342193792924,0.0
51,2007-08-01,1.0836716266595934,0.0,1.0281784051484666,0.0,1.0640373699339092,0.0
52,2007-08-02,1.103267496860845,0.0,1.034210706240171,0.0,1.0666203963366314,0.0
53,2007-08-03,1.0834471220466442,0.0,1.0402208604477343,0.0,1.068532472877552,0.0
54,2007-08-06,1.09300532229247,0.0,1.043511754582694,0.0,1.073917636633996,0.0
