date,cota_Mom,cota_beta,cota_valor
13/11/2007,1.003092202,1.065232518,0.944938135
14/11/2007,1.030754573,1.072438002,0.958492356
15/11/2007,1.030322832,1.071988801,0.958090882
16/11/2007,1.026876092,1.076284353,0.962697242
19/11/2007,0.997588739,1.060679728,0.94503921
20/11/2007,0.997170889,1.060235453,0.944643371
21/11/2007,0.982670809,1.039880441,0.925559257
22/11/2007,0.985665977,1.031110885,0.923035549
23/11/2007,0.979215527,1.024672386,0.913856599
26/11/2007,0.954132478,1.021732945,0.889704251
27/11/2007,0.950842599,1.024923844,0.88668352
28/11/2007,0.968953416,1.033920173,0.9112076
29/11/2007,0.97715025,1.044507925,0.909653117
30/11/2007,0.976501574,1.055725895,0.912887723
03/12/2007,0.9682545,1.054513878,0.916373446
04/12/2007,0.969650088,1.059623271,0.914250269
05/12/2007,0.990390896,1.066525432,0.934253325
06/12/2007,0.990459572,1.064235393,0.925766303
07/12/2007,0.99069379,1.070196962,0.931177048
10/12/2007,0.971685733,1.070911576,0.933180652
11/12/2007,0.956964846,1.070210467,0.921837609
12/12/2007,0.964944812,1.073497474,0.922637952
13/12/2007,0.945174378,1.054088276,0.909813264
14/12/2007,0.93255197,1.049571305,0.900748686
17/12/2007,0.895205442,1.037723953,0.869967521
18/12/2007,0.927905733,1.044764666,0.858534072
19/12/2007,0.91446165,1.046660033,0.854585242
20/12/2007,0.913280438,1.049022094,0.854100264
21/12/2007,0.943896785,1.059881424,0.869355691
24/12/2007,0.943501425,1.059437483,0.868991553
25/12/2007,0.943106231,1.058993727,0.868627568
26/12/2007,0.974952643,1.082021424,0.886564562
27/12/2007,0.965437114,1.083163787,0.882462885
28/12/2007,0.964419396,1.08610311,0.882897058
31/12/2007,0.964015784,1.085648573,0.882527564
01/01/2008,0.963612341,1.085194227,0.882158224
02/01/2008,0.971030803,1.08203883,0.884788573
03/01/2008,0.981377903,1.087699634,0.890153007
04/01/2008,0.968399037,1.072782711,0.869210383
07/01/2008,0.97210719,1.067065314,0.870227438
08/01/2008,0.98963739,1.061560582,0.880387803
09/01/2008,0.985888557,1.066938025,0.881564737
10/01/2008,1.000035056,1.071201779,0.913063361
11/01/2008,0.977368943,1.064901532,0.895293544
14/01/2008,0.975805225,1.064995382,0.900998813
15/01/2008,0.948589157,1.051710523,0.882433306
16/01/2008,0.936587953,1.041548645,0.874820344
17/01/2008,0.905732198,1.020786671,0.849330166
18/01/2008,0.907047652,1.010962057,0.854642963
21/01/2008,0.877818144,0.979471386,0.810713774
22/01/2008,0.91100125,0.994776484,0.851285987
23/01/2008,0.868944859,0.975415337,0.823237869
24/01/2008,0.920984216,1.00881381,0.850099729
25/01/2008,0.920599769,1.0083927,0.849744871
28/01/2008,0.938116827,1.005884862,0.871777928
29/01/2008,0.99862862,1.022241123,0.886042228
30/01/2008,1.010633155,1.018197207,0.880989344
31/01/2008,1.010342752,1.014988889,0.860377971
01/02/2008,1.037120413,1.027943526,0.88027611
04/02/2008,1.036687117,1.027514064,0.879908342
05/02/2008,1.036254002,1.027084781,0.879540727
06/02/2008,0.989170262,1.015525701,0.860296888
07/02/2008,0.975335879,1.012372791,0.857106736
08/02/2008,0.977435596,1.014118865,0.852656498
11/02/2008,0.993141067,1.019800954,0.861717705
12/02/2008,1.026111157,1.03051153,0.877321109
13/02/2008,1.043900908,1.034979886,0.887917883
14/02/2008,1.045751604,1.034060467,0.876179222
15/02/2008,1.021949051,1.028434247,0.863608303
18/02/2008,1.035586702,1.03608685,0.871472572
19/02/2008,1.016120251,1.038302486,0.856837006
20/02/2008,1.025710667,1.054983429,0.882008772
21/02/2008,1.026114544,1.059957686,0.884444595
22/02/2008,1.047980055,1.065979511,0.900130934
25/02/2008,1.059317881,1.06755198,0.903330648
26/02/2008,1.067395648,1.070005326,0.913315473
27/02/2008,1.081791097,1.065277047,0.908408029
28/02/2008,1.074896363,1.060842193,0.900681733
29/02/2008,1.052464231,1.061012054,0.883992507
03/03/2008,1.090621182,1.061116844,0.91136074
04/03/2008,1.082655735,1.054789473,0.905446502
05/03/2008,1.078420414,1.066911339,0.915569031
06/03/2008,1.042287291,1.056089634,0.891517239
07/03/2008,1.015921478,1.051796854,0.875599154
10/03/2008,0.974799662,1.038910181,0.852481116
11/03/2008,1.014855215,1.051599889,0.888735177
12/03/2008,1.002258989,1.045846205,0.877457543
13/03/2008,0.998270873,1.042062757,0.871196878
14/03/2008,0.975835761,1.039885358,0.865981848
17/03/2008,0.951538449,1.019709707,0.848356241
18/03/2008,0.989282233,1.032641073,0.866229027
19/03/2008,0.942717878,1.017617661,0.836238259
20/03/2008,0.940437888,1.01337451,0.845139735
21/03/2008,0.940044985,1.012951135,0.844786646
24/03/2008,0.968374824,1.023221562,0.860084187
25/03/2008,0.979310881,1.019526656,0.869225966
26/03/2008,0.969860472,1.012255212,0.864220803
27/03/2008,0.967772554,1.0005712,0.856905096
28/03/2008,0.944507343,0.99901429,0.854717629
31/03/2008,0.938986584,1.006533205,0.860280209
01/04/2008,0.952394707,1.00691317,0.875769838
02/04/2008,0.971395982,1.016459822,0.890158982
03/04/2008,0.99372178,1.035434803,0.906625015
04/04/2008,0.997218037,1.040432919,0.907563987
07/04/2008,0.992115474,1.036460279,0.896966963
08/04/2008,0.984970647,1.034251576,0.897358814
09/04/2008,0.957339914,1.027619014,0.88245254
10/04/2008,0.953530545,1.039962221,0.88434279
11/04/2008,0.945298458,1.033787987,0.876458869
14/04/2008,0.928110685,1.023273189,0.858038683
15/04/2008,0.925505673,1.016645795,0.855239611
16/04/2008,0.943153225,1.025587672,0.866984306
17/04/2008,0.95039328,1.024799102,0.875696376
18/04/2008,0.947856378,1.035765237,0.885633777
21/04/2008,0.947442804,1.035313306,0.885247352
22/04/2008,0.949892773,1.041841337,0.890063341
23/04/2008,0.928611439,1.041205377,0.883902933
24/04/2008,0.929389003,1.038801596,0.886930746
25/04/2008,0.943959065,1.032086159,0.894499298
28/04/2008,0.948266054,1.034876623,0.8735688
29/04/2008,0.932710936,1.027208095,0.851159781
30/04/2008,1.019410112,1.042702263,0.89557822
01/05/2008,1.018967131,1.04224916,0.89518905
02/05/2008,1.030571722,1.050478216,0.907217075
05/05/2008,1.036813511,1.054986231,0.919701273
06/05/2008,1.010571367,1.063036136,0.912265289
07/05/2008,0.985038728,1.073863137,0.889396702
08/05/2008,0.992128977,1.073031029,0.89379079
