,date,cota_longOnly,drawdown_LongOnly,cota_longHedge,drawdown_LongHedge,cota_long&Short,drawdown_long&Short
0,2006-03-10,1.0,0.0,1.0,0.0,1.0,0.0
1,2006-03-13,1.0014244055894566,0.0,0.997801564342834,0.0,1.013967840996594,0.0
2,2006-03-14,1.0057388810923529,0.0,0.9973557923870205,0.0,1.0156097600431766,0.0
3,2006-03-15,1.0057842999371993,0.0,0.9941034940399696,0.0,1.0079109791884806,0.0
4,2006-03-16,1.0063812207803335,0.0,0.9932645072140418,0.0,1.0102626730242699,0.0
5,2006-03-17,1.0004856640794269,0.0,0.9937853024003622,0.0,1.001653551209433,0.0
6,2006-03-20,1.0054962674996326,0.0,0.9992913968766941,0.0,1.0055145311864155,0.0
7,2006-03-21,1.0079380644588571,0.0,0.9998623933504902,0.0,1.0005769641013174,0.0
8,2006-03-22,1.004807499768609,0.0,0.9974008510900719,0.0,0.9924187924741886,0.0
9,2006-03-23,1.0024919582034069,0.0,0.9943742662178991,0.0,0.9875075966414643,0.0
10,2006-03-24,1.008052720638542,0.0,0.9934893898869027,0.0,0.9880849983952682,0.0
11,2006-03-27,1.0027641670454863,0.0,0.992211146493612,0.0,0.9572115278122392,0.0
12,2006-03-28,1.0003773455172202,0.0,0.9922758903376617,0.0,0.9577116021423637,0.0
13,2006-03-29,1.0059011713055266,0.0,0.9894155591691183,0.0,0.9521061160492602,0.0
14,2006-03-30,1.0040535752515782,0.0,0.9879097608331334,0.0,0.9452835577158348,0.0
15,2006-03-31,0.9970516039535697,0.0,0.9883245821182437,0.0,0.9441252792671401,0.0
16,2006-04-03,0.9972506239208039,0.0,0.9844689484575713,0.0,0.944593487639663,0.0
17,2006-04-04,0.9911002066969375,0.0,0.982933970391992,0.0,0.9516677221973092,0.0
18,2006-04-05,0.9921212828069509,0.0,0.9785204723247537,0.0,0.9553777562261047,0.0
19,2006-04-06,0.9944790472946129,0.0,0.9780392029033572,0.0,0.974106144801385,0.0
20,2006-04-07,0.994513878176423,-0.5486121823576995,0.9821006671183466,-1.7899332881653351,0.9806022691525088,-1.939773084749119
21,2006-04-10,0.9923613740085401,-0.9050140510188376,0.9791722907233973,-1.8670319114709066,0.9744726430010744,-3.895113473885037
22,2006-04-11,0.9863208473268077,-1.9307231857691454,0.9806928857703461,-1.6707083614358242,0.9786591514369457,-3.6382683644808678
23,2006-04-12,0.9768669126022851,-2.8751082450501397,0.9764099306143921,-1.7798512460379778,0.9821898640967892,-2.551923297075376
24,2006-04-13,0.9847758322952199,-2.146839392368738,0.9772145958564835,-1.6158748491452601,0.9818532727744298,-2.8120805616617672
25,2006-04-17,0.981139642864707,-1.9336630108059194,0.97307395009834,-2.0840872019335155,0.9823074409683691,-1.9314173266499757
26,2006-04-18,0.9838217383175631,-2.1556051357572437,0.9690314144109742,-3.0281439988674053,0.9809413152042861,-2.4438449390816186
27,2006-04-19,0.9843871393007658,-2.3365448720041537,0.9677961189007188,-3.2070687589638047,0.9808553911319868,-1.9710200890986629
28,2006-04-20,0.9788119544690894,-2.5871169657378013,0.9719045109054579,-2.556278166070214,0.9845016611711693,-0.7977611229308956
29,2006-04-21,0.9828701774649594,-1.9573005626511097,0.969108090836941,-2.5409120327558266,0.9852485635130942,-0.22876108862889266
30,2006-04-24,0.9777898835714756,-3.002108565105266,0.970398616444455,-2.3242093652430795,0.9816553967973662,-0.6507134111280011
31,2006-04-25,0.9802542021026184,-2.244791515555511,0.9721842931542217,-2.018406405749762,0.971091981030794,0.0
32,2006-04-26,0.9874454796670559,-1.292698790922564,0.9761415580903133,-1.6259925696529898,0.9659565171332997,0.0
33,2006-04-27,0.9862106677400242,-1.957498820679049,0.980895475503985,-0.8611228705851515,0.9672369916794561,0.0
34,2006-04-28,0.9795511715177361,-2.440348238160772,0.9769743068997394,-1.1069284227105736,0.9641853220437248,0.0
35,2006-05-01,0.9767320730574819,-2.0379618081467044,0.9744271426682827,-1.406161467741207,0.9726420123779485,0.0
36,2006-05-02,0.9734351575205971,-2.388112459290681,0.9712695044795014,-1.3407679336915779,0.9740941567723902,0.0
37,2006-05-03,0.9711608520269175,-2.0118404309966254,0.9733148778978337,-0.9786102407593367,0.9701389681589572,0.0
38,2006-05-04,0.9595658139118677,-3.281400112995858,0.9703791162055914,-0.8320067233565598,0.968048156235921,0.0
39,2006-05-05,0.9700242272356955,-2.4590583507460018,0.970938497528389,-0.7260143922543594,0.9713521652785008,-0.28271862749061905
40,2006-05-08,0.966521292531803,-2.8147003534981563,0.968466513245186,-1.388264393828964,0.9611174643441015,-1.9870242422799222
41,2006-05-09,0.9559694757043473,-3.66720221658684,0.9619267563568155,-1.7612359469283079,0.9599813170976923,-1.4870941742143984
42,2006-05-10,0.9578196948475656,-2.8896431172967585,0.9633929699789563,-1.7640502997837593,0.9593711662264083,-1.970858309782042
43,2006-05-11,0.9442771838410888,-3.3361482859911917,0.9626588260028608,-1.408333137586848,0.9621139899069864,-2.043991179675264
44,2006-05-12,0.9520580280930162,-3.3223605950958635,0.9717482681991853,-0.5593784293108417,0.9695305376230923,-1.2550485386189192
45,2006-05-15,0.9575546968668468,-2.403831724605221,0.9829524437855702,0.0,0.9760199128492658,-0.6400774194385561
46,2006-05-16,0.9601131216897008,-2.4098488277364716,0.9844519719331088,0.0,0.9852230045434608,0.0
47,2006-05-17,0.9509444134675633,-3.3973143794785554,0.9875097058891212,0.0,0.9862973297625564,0.0
48,2006-05-18,0.9418800505964948,-3.7731357595266135,0.9869946501248741,0.0,0.9808183388024682,-0.3741306402997302
